"controller","condition","item","reading_time","NA","subject","group_G","ambiguity_G","ambiguity","group"
"DashedSentence","exp1-2","15",3633,"False","Native 8","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-2","3",3302,"False","Native 8","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-3","8",2681,"False","Native 8","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-3","20",2499,"False","Native 8","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-4","13",3453,"False","Native 8","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-2","23",3323,"False","Native 8","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-1","6",3151,"False","Native 8","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-4","1",2322,"False","Native 8","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-4","20",2730,"False","Native 9","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-1","5",4896,"False","Native 9","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-3","7",6145,"False","Native 9","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-3","19",5686,"False","Native 9","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-4","12",2118,"False","Native 9","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-3","3",5320,"False","Native 9","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-2","10",1812,"False","Native 9","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-2","14",2752,"False","Native 9","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-2","18",3873,"False","Native 9","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-1","13",3598,"False","Native 9","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-1","21",4427,"False","Native 9","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-1","9",1977,"False","Native 9","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-4","4",2697,"False","Native 9","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-3","15",3190,"False","Native 9","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-2","6",1869,"False","Native 9","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-2","22",2029,"False","Native 9","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-4","8",1823,"False","Native 9","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-3","11",2087,"False","Native 9","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-2","2",2522,"False","Native 9","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-1","17",3459,"False","Native 9","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-4","16",2999,"False","Native 9","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-4","24",2891,"False","Native 9","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-1","1",2205,"False","Native 9","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-3","23",2396,"False","Native 9","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-3","14",2903,"False","Native 10","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-4","7",7909,"False","Native 10","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-4","19",5150,"False","Native 10","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-2","9",4332,"False","Native 10","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-1","4",4641,"False","Native 10","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-1","8",4792,"False","Native 10","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-2","5",2817,"False","Native 10","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-3","6",4010,"False","Native 10","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-2","1",3675,"False","Native 10","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-2","21",2878,"False","Native 10","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-3","2",3782,"False","Native 10","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-1","16",4458,"False","Native 10","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-1","12",3593,"False","Native 10","Native","Ambiguous",0.5,-0.5
